date,likes,views,comments,estimated_saves,estimated_shares,engagement_rate,video_url,caption,hashtags,mentions,manual_tags
2025-07-22,0,5,0,0,0,0,https://scontent-hou1-1.cdninstagram.com/o1/v/t16/f2/m86/AQNORbuDbdNBM552PCiLO9HWgnLReqTToqUvBivSr0oUBaxCF0mTXY24bFKKYZQjuj4OeP8mmCdiwBYv013eJHpJeYwdEV2Q7BMbWpQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=743383244854553_3457700049&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DMjQzN0QzOTlFNThBRjk0MTQwOUM1RDE4NTQ1RjhBMV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSkQtRng4NkNFSGFDRGtGQUtTNjhFVGF0czF4YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtzx%2FuaqyrQ%2FFQIoAkMzLBdASCZmZmZmZhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=77fea499a4&ccb=9-4&oh=00_AfdjIaKIUmtpuui8ViDDZQPbBhMfw6LVXvWZc5fVeBhqWw&oe=68E86828&_nc_sid=10d13b,"A perfect birthday gift 🎁 😍 
#jewelryvendorinakure #gemwhisper #jewellery #vendorinakure #loveinabox #giftideas #surpriseher #nigeriabusiness #fyp #packanorderwithme","jewelryvendorinakure, gemwhisper, jewellery, vendorinakure, loveinabox, giftideas, surpriseher, nigeriabusiness, fyp, packanorderwithme",,
2025-07-30,3,4,0,0,0,3,https://scontent-atl3-1.cdninstagram.com/o1/v/t16/f2/m86/AQNhhoTV7rLuSVVQjP_SrNF1zUuNKlefbQFr9EJI71O3aiGQWy9E2gwk5RDPMKcoyrCYfBLCFlxwdXNkwC6RozxGUtUTJ8FWW9gPhfY.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1300229304801641_506461846&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GRjQwQTA3QUQ4QzM2REEwOUM1RkRENjk3OURFQjA5RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSklCUlI5cVBvcE5ZSWNFQUd3NjdYQ1l6UUliYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJtyP%2FY3ZjrU%2FFQIoAkMzLBdAQA0vGp%2B%2BdxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=390c0603a9&ccb=9-4&oh=00_Afd1lBHp0WgwCdWQ6ci2if-EaIGxRiG6PG_DBC0Iw34I3g&oe=68E84E05&_nc_sid=10d13b,"Tag someone you think deserves this🥰
#jewelryvendorinakure #gemwhisper #jewellery #jewelrybusiness #packanorderwithme #vendorinakure #loveinabox #giftideas #surpriseher #nigeriabusiness #GirlfriendsDay","jewelryvendorinakure, gemwhisper, jewellery, jewelrybusiness, packanorderwithme, vendorinakure, loveinabox, giftideas, surpriseher, nigeriabusiness, GirlfriendsDay",,
2025-07-04,5,0,1,0,0,6,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQM1vG-UU9hN79Tw8LszlxhisQf2A5zBuUUQAVK4c3qUV2eSF-s0pBnFo8QCLncYFSVvJkSz7s4oHe4U_67_6MstrIzBOewILvryY4w.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=108&vs=702948655954332_2703504381&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9EMzRGRDA2RkIzQjM2M0ZBOEZENTU2MzI3MkJGMUFCOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTExTcHg0d213RWpMcFVHQUVKaHVOOEpKenRWYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJoDNhOeJzJZAFQIoAkMzLBdAXcAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=7dbb261b98&ccb=9-4&oh=00_Afc4xCMo_TylPGNyYYEz4X6I5YPNG0gb2Z2_Tv0QEwSHEA&oe=68E85346&_nc_sid=10d13b,A very demure gift bag❤❤#jewelryvendorinakure #ElegantAccessories #packanorderwithme #fyp #Gemwhisper #gift #packanorderwithmetiktok #jewellery #jewelrybusiness #jewelrypackaging #jewelryvendor #vendor #FUTA,"jewelryvendorinakure, ElegantAccessories, packanorderwithme, fyp, Gemwhisper, gift, packanorderwithmetiktok, jewellery, jewelrybusiness, jewelrypackaging, jewelryvendor, vendor, FUTA",,
2025-06-30,3,0,0,0,0,3,https://scontent-atl3-1.cdninstagram.com/o1/v/t16/f2/m86/AQOGx3SdwLZGIkn84C88LfMAksLVrr3P4-Qq1ASlrlSOLewEMstgmMEPIsjZVoMNBo6tQrz1Hhgdg0S8WdazBt8EtaeCuJFqUHGrjt0.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=100&vs=748261055026671_45624821&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9CQzQ2REI4NDRFNkY5RkUxRkM5QzhDNUE0NTUwMkE4N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT3NXdEI0ZXVEV0JxaElGQU0yWUY4RWZydGhMYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJrLKpv23rp9AFQIoAkMzLBdAQH7ZFocrAhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=71aad46563&ccb=9-4&oh=00_AfdkaEC8qc9npA1DFCbGirgJsu2SH8nBLLbcHt2_u4skcA&oe=68E86822&_nc_sid=10d13b,"New Arrival
#jewelryvendorinakure",jewelryvendorinakure,,
2025-09-28,0,1,0,0,0,0,https://instagram.fhyw1-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQPLm1gQfOVr_Vr67HVfJJqDd48d8dJmSUqJO26USF2FQpqoVQF-xfO9m0qfjjRgpdPMpk5ImmfTYS6wD8NqeBZzgIGT5REI2fnCXZI.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=680314897886234_572901886&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zMDRCMTMxNDkzQkFFRjIzNzIyNzg4MkEwRDFDRENBNF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTjhVSFNGcEViMjlsekFGQUxFNEwwZTh6MEZEYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJty3t8WLw7g%2FFQIoAkMzLBdAMOZmZmZmZhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=d7f0d99067&ccb=9-4&oh=00_AffvtA7OYlmKKgWYGECHiC93s4rkmoMErHUHMahF3mpsrg&oe=68E857EA&_nc_sid=10d13b,#gemwhisper #jewellery #jewelrybusiness #bracelet,"gemwhisper, jewellery, jewelrybusiness, bracelet",,
